itemid,nombre,volumen,precio,marca,categoria
227653,Bacardi 50ml Family Pack,301,1.67,"Bacardi U.S.A., Inc.",FLAVORED RUM
427128,Bacardi Dragon Berry,750,12.39,"Bacardi U.S.A., Inc.",FLAVORED RUM
292098,Bacardi Dragonberry,375,6.0,"Bacardi U.S.A., Inc.",FLAVORED RUM
182250,Bacardi Dragon Berry PET,750,12.0,"Bacardi U.S.A., Inc.",FLAVORED RUM
46671,Bacardi Grand Melon Flavored Rum,1000,15.36,"Bacardi U.S.A., Inc.",FLAVORED RUM
436414,Bacardi Grand Melon Flavored Rum,750,12.5,"Bacardi U.S.A., Inc.",FLAVORED RUM
291767,Bacardi Grand Melon Flavored Rum,502,7.95,"Bacardi U.S.A., Inc.",FLAVORED RUM
129490,Bacardi Peach Red,750,12.39,"Bacardi U.S.A., Inc.",FLAVORED RUM
47297,Bacardi Spice Counter Unit,2011,0.3,"Bacardi U.S.A., Inc.",FLAVORED RUM
195270,Bacardi Limon Glass Co-Pack,1750,21.83,"Bacardi U.S.A., Inc.",FLAVORED RUM
74296,Tropico Liqueur,750,10.4,"Bacardi U.S.A., Inc.",FLAVORED RUM
126522,Tropico Liqueur,603,12.75,"Bacardi U.S.A., Inc.",FLAVORED RUM
216486,Bacardi Dragonberry,1750,23.49,"Bacardi U.S.A., Inc.",FLAVORED RUM
167918,Bacardi Dragon Berry,1000,14.25,"Bacardi U.S.A., Inc.",FLAVORED RUM
45216,Island Breeze Key Lime,750,11.31,"Bacardi U.S.A., Inc.",FLAVORED RUM
15903,Island Breeze Key Lime,1750,21.83,"Bacardi U.S.A., Inc.",FLAVORED RUM
184903,Island Breeze Wild Berry,750,11.31,"Bacardi U.S.A., Inc.",FLAVORED RUM
264183,Island Breeze Wild Berry,1750,21.83,"Bacardi U.S.A., Inc.",FLAVORED RUM
413241,Bacardi O Mini Chargeback,50,0.72,"Bacardi U.S.A., Inc.",FLAVORED RUM
391156,Tropico Liqueur,50,1.07,"Bacardi U.S.A., Inc.",FLAVORED RUM
146492,Bacardi Limon,50,0.65,"Bacardi U.S.A., Inc.",FLAVORED RUM
257534,Bacardi Spice Miniature,50,0.56,"Bacardi U.S.A., Inc.",FLAVORED RUM
167543,Bacardi Big Apple Flavored Rum,50,0.84,"Bacardi U.S.A., Inc.",FLAVORED RUM
127939,Bacardi O Rum,200,2.33,"Bacardi U.S.A., Inc.",FLAVORED RUM
151385,Bacardi O,375,6.3,"Bacardi U.S.A., Inc.",FLAVORED RUM
186352,Bacardi O Mini,502,7.2,"Bacardi U.S.A., Inc.",FLAVORED RUM
380061,Bacardi Limon,200,3.14,"Bacardi U.S.A., Inc.",FLAVORED RUM
122456,Tropico Liqueur,375,5.8,"Bacardi U.S.A., Inc.",FLAVORED RUM
253150,Bacardi Ciclon,375,6.39,"Bacardi U.S.A., Inc.",FLAVORED RUM
65346,Bacardi Dragon Berry,750,12.5,"Bacardi U.S.A., Inc.",FLAVORED RUM
385355,Bacardi Razz,375,6.3,"Bacardi U.S.A., Inc.",FLAVORED RUM
185167,Bacardi Coco,375,6.3,"Bacardi U.S.A., Inc.",FLAVORED RUM
243949,Bacardi Grand Melon Rum,1000,14.25,"Bacardi U.S.A., Inc.",FLAVORED RUM
1152,Bacardi Coco,750,12.5,"Bacardi U.S.A., Inc.",FLAVORED RUM
308967,Bacardi Dragon Berry Mini,502,0.87,"Bacardi U.S.A., Inc.",FLAVORED RUM
323030,Bacardi Big Apple Rum,1000,14.25,"Bacardi U.S.A., Inc.",FLAVORED RUM
82229,Bacardi Rock Coconut,750,12.5,"Bacardi U.S.A., Inc.",FLAVORED RUM
64099,Bacardi Torched Cherry,1750,24.0,"Bacardi U.S.A., Inc.",FLAVORED RUM
92668,Bacardi Wolf Berry,750,12.39,"Bacardi U.S.A., Inc.",FLAVORED RUM
175818,Bacardi Black Razz Miniature,50,0.83,"Bacardi U.S.A., Inc.",FLAVORED RUM
129121,Castillo Spiced Rum,1000,7.34,"Bacardi U.S.A., Inc.",FLAVORED RUM
