itemid,nombre,volumen,precio,marca,categoria
82232,Beefeater Gin,375,9.38,Pernod Ricard USA/Austin Nichols,IMPORTED DRY GINS
234350,Beefeater Gin,750,16.49,Pernod Ricard USA/Austin Nichols,IMPORTED DRY GINS
381211,Beefeater Gin,1000,21.74,Pernod Ricard USA/Austin Nichols,IMPORTED DRY GINS
242694,Beefeater Gin,1750,33.74,Pernod Ricard USA/Austin Nichols,IMPORTED DRY GINS
84822,"Beefeater \"24\" Gin",750,20.1,Pernod Ricard USA/Austin Nichols,IMPORTED DRY GINS
445106,Wet By Beefeater,1000,23.24,Pernod Ricard USA/Austin Nichols,IMPORTED DRY GINS
59586,Beefeater Summer Gin,750,15.59,Pernod Ricard USA/Austin Nichols,IMPORTED DRY GINS
