itemid,nombre,volumen,precio,marca,categoria
39440,Don Pedro Mexican Brandy,750,14.82,Pernod Ricard USA/Austin Nichols,IMPORTED GRAPE BRANDIES
134558,Presidente Grape Brandy (pedro Domecq),750,12.74,Pernod Ricard USA/Austin Nichols,IMPORTED GRAPE BRANDIES
212438,Martell Vsop Cognac,750,29.99,Pernod Ricard USA/Austin Nichols,IMPORTED GRAPE BRANDIES
329900,Martell Xo Supreme,750,131.63,Pernod Ricard USA/Austin Nichols,IMPORTED GRAPE BRANDIES
403477,Don Pedro Reserva Especial Brandy,750,14.24,Pernod Ricard USA/Austin Nichols,IMPORTED GRAPE BRANDIES
283923,Presidente Grape Brandy,1750,21.74,Pernod Ricard USA/Austin Nichols,IMPORTED GRAPE BRANDIES
380440,Martell Vs Cognac,750,22.35,Pernod Ricard USA/Austin Nichols,IMPORTED GRAPE BRANDIES
219193,Martell Vsop Cognac,750,36.86,Pernod Ricard USA/Austin Nichols,IMPORTED GRAPE BRANDIES
