,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
20,"frozenset({'SINGLE MALT SCOTCH', 'BLENDED WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'AMERICAN COCKTAILS'}),0.0011061946902654867,0.11946902654867257,0.0011061946902654867,1.0,8.37037037037037,1.0,0.0009740386874461586,inf,0.8815060908084164,0.009259259259259259,1.0,0.5046296296296297
21,"frozenset({'STRAIGHT BOURBON WHISKIES', 'AMERICAN DRY GINS', 'AMERICAN COCKTAILS'})",frozenset({'BLENDED WHISKIES'}),0.0011061946902654867,0.029129793510324485,0.0011061946902654867,1.0,34.32911392405063,1.0,0.0010739714673558358,inf,0.9719453672942047,0.0379746835443038,1.0,0.5189873417721519
22,"frozenset({'SINGLE MALT SCOTCH', 'CANADIAN WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'AMERICAN COCKTAILS'}),0.0011061946902654867,0.11946902654867257,0.0011061946902654867,1.0,8.37037037037037,1.0,0.0009740386874461586,inf,0.8815060908084164,0.009259259259259259,1.0,0.5046296296296297
23,"frozenset({'SINGLE MALT SCOTCH', 'CANADIAN WHISKIES', 'AMERICAN COCKTAILS'})",frozenset({'AMERICAN DRY GINS'}),0.0011061946902654867,0.0357669616519174,0.0011061946902654867,1.0,27.95876288659794,1.0,0.0010666294671992063,inf,0.9653008490217793,0.030927835051546393,1.0,0.5154639175257731
24,"frozenset({'CANADIAN WHISKIES', 'AMERICAN DRY GINS', 'AMERICAN COCKTAILS'})",frozenset({'SINGLE MALT SCOTCH'}),0.0011061946902654867,0.1084070796460177,0.0011061946902654867,1.0,9.224489795918368,1.0,0.0009862753543738742,inf,0.8925802879291251,0.01020408163265306,1.0,0.5051020408163265
25,"frozenset({'CANADIAN WHISKIES', 'AMERICAN DRY GINS', 'AMERICAN COCKTAILS'})",frozenset({'STRAIGHT BOURBON WHISKIES'}),0.0011061946902654867,0.08775811209439528,0.0011061946902654867,1.0,11.394957983193278,1.0,0.0010091171326389431,inf,0.9132521225544481,0.012605042016806723,1.0,0.5063025210084033
26,"frozenset({'STRAIGHT BOURBON WHISKIES', 'AMERICAN DRY GINS', 'AMERICAN COCKTAILS'})",frozenset({'CANADIAN WHISKIES'}),0.0011061946902654867,0.0612094395280236,0.0011061946902654867,1.0,16.337349397590362,1.0,0.0010384851332654605,inf,0.939830195644149,0.018072289156626505,1.0,0.5090361445783133
27,"frozenset({'SINGLE MALT SCOTCH', 'STRAIGHT BOURBON WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'AMERICAN COCKTAILS'}),0.0011061946902654867,0.11946902654867257,0.0011061946902654867,1.0,8.37037037037037,1.0,0.0009740386874461586,inf,0.8815060908084164,0.009259259259259259,1.0,0.5046296296296297
28,"frozenset({'STRAIGHT BOURBON WHISKIES', 'AMERICAN DRY GINS', 'AMERICAN COCKTAILS'})",frozenset({'SINGLE MALT SCOTCH'}),0.0011061946902654867,0.1084070796460177,0.0011061946902654867,1.0,9.224489795918368,1.0,0.0009862753543738742,inf,0.8925802879291251,0.01020408163265306,1.0,0.5051020408163265
29,"frozenset({'SINGLE MALT SCOTCH', 'CANADIAN WHISKIES', 'AMERICAN COCKTAILS'})",frozenset({'BLENDED WHISKIES'}),0.0011061946902654867,0.029129793510324485,0.0011061946902654867,1.0,34.32911392405063,1.0,0.0010739714673558358,inf,0.9719453672942047,0.0379746835443038,1.0,0.5189873417721519
