itemid,nombre,volumen,precio,marca,categoria
458526,Chivas Regal W/decanter,1750,53.04,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
448124,Chivas Regal W/coaster Set,1750,53.04,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
29873,Absolut Tri Pack Cit/mand/blu,375,8.87,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
242456,Malibu w/Dole Pineapple Juice,1750,24.74,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
32591,Beefeater W/2 Rocks Glasses,1750,32.33,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
335459,Beefeater w/Yeoman Pourer,1750,32.99,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
191634,Absolut Mini Five Pack,251,7.02,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
296989,Absolut Five Summer Pack,251,7.02,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
68704,Martell Vs Coganc W/glasses,750,21.75,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
117762,Kahlua W/2 Glasses,750,16.67,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
398671,Kahlua W/2 Glasses,750,16.67,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
127569,Kahlua Tin,750,18.0,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
430034,Kahlua W/4 Stoli Flavored Minis,750,16.67,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
326314,Kahlua W/fondue Set,750,17.42,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
438122,Kahlua w/Mug and 3-50ml Flavors,750,17.43,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
93067,Absolut Zing Zang Bloody Mary Mix,1750,29.99,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
118318,Kahlua Sampler Pack,250,5.24,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
449391,Malibu Counter Unit,250,4.49,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
304081,Absolut Electrik w/2 Glasses,750,17.24,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
73377,Beefeater w/ 4 Coasters,1750,33.72,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
123629,Jameson Trilogy Pack,600,29.97,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES
