itemid,nombre,volumen,precio,marca,categoria
330035,Cruzan 4 Flavor Combo Pak,200,30.5,Jim Beam Brands,FLAVORED RUM
398673,Calico Jack Mango  Rum,750,11.8,Jim Beam Brands,FLAVORED RUM
36127,Calico Jack Pineapple Coconut Rum,750,9.44,Jim Beam Brands,FLAVORED RUM
184991,Cruzan Junkanu Citrus Rum,750,9.0,Jim Beam Brands,FLAVORED RUM
4849,Cruzan Coconut Rum,375,4.77,Jim Beam Brands,FLAVORED RUM
139845,Cruzan Coconut Rum,750,10.25,Jim Beam Brands,FLAVORED RUM
99860,Calico Jack Tropical Punch,750,9.45,Jim Beam Brands,FLAVORED RUM
97139,Calico Jack Whipped,750,9.45,Jim Beam Brands,FLAVORED RUM
341486,Calico Jack Cherry,750,9.45,Jim Beam Brands,FLAVORED RUM
328476,Calico Jack Coconut,750,9.45,Jim Beam Brands,FLAVORED RUM
125071,Cruzan Black Cherry Rum,750,10.25,Jim Beam Brands,FLAVORED RUM
417860,Cruzan Blueberry Lemonade,750,10.25,Jim Beam Brands,FLAVORED RUM
446067,Cruzan Banana Rum,750,10.62,Jim Beam Brands,FLAVORED RUM
377981,Cruzan Raspberry Rum,502,7.85,Jim Beam Brands,FLAVORED RUM
459721,Cruzan Raspberry Rum,750,10.25,Jim Beam Brands,FLAVORED RUM
104929,Cruzan Coconut Rum,1000,12.59,Jim Beam Brands,FLAVORED RUM
148996,Cruzan Mango Rum,1000,12.59,Jim Beam Brands,FLAVORED RUM
262826,Cruzan Mango Rum,750,10.25,Jim Beam Brands,FLAVORED RUM
123026,Cruzan Pineapple Rum,750,10.62,Jim Beam Brands,FLAVORED RUM
462852,Cruzan Vanilla Rum,750,10.25,Jim Beam Brands,FLAVORED RUM
152861,Cruzan Orange,750,10.25,Jim Beam Brands,FLAVORED RUM
161453,Cruzan Guava Rum,750,10.62,Jim Beam Brands,FLAVORED RUM
398161,Cruzan Strawberry Rum,750,10.25,Jim Beam Brands,FLAVORED RUM
268755,Cruzan Key Lime,750,10.25,Jim Beam Brands,FLAVORED RUM
287496,Cruzan Passion Fruit,750,10.25,Jim Beam Brands,FLAVORED RUM
321657,Cruzan Peach,750,10.25,Jim Beam Brands,FLAVORED RUM
346106,Cruzan Citrus Rum,750,10.25,Jim Beam Brands,FLAVORED RUM
218215,Cruzan Citrus Rum,1000,12.6,Jim Beam Brands,FLAVORED RUM
98425,Cocoribe,750,7.5,Jim Beam Brands,FLAVORED RUM
261910,Cruzan Coconut Rum,1000,12.59,Jim Beam Brands,FLAVORED RUM
337777,Cruzan Mango Rum Minis,502,7.85,Jim Beam Brands,FLAVORED RUM
239570,Cruzan Orange Rum,750,10.62,Jim Beam Brands,FLAVORED RUM
311341,Cruzan Mango Rum,1000,12.59,Jim Beam Brands,FLAVORED RUM
357859,Cruzan Orange Rum(dno),1000,12.59,Jim Beam Brands,FLAVORED RUM
113566,Cruzan Pineapple Rum,1000,12.6,Jim Beam Brands,FLAVORED RUM
457539,Cruzan Coconut Rum,375,6.35,Jim Beam Brands,FLAVORED RUM
167971,Dekuyper Tropical Coconut,1000,11.81,Jim Beam Brands,FLAVORED RUM
195234,Cruzan Mango Rum,375,6.35,Jim Beam Brands,FLAVORED RUM
123032,Cruzan Vanilla Rum,375,6.35,Jim Beam Brands,FLAVORED RUM
100108,Calico Jack Cherry,750,7.49,Jim Beam Brands,FLAVORED RUM
102026,Cruzan Banana Rum,750,10.25,Jim Beam Brands,FLAVORED RUM
320900,Cruzan Vanilla Flavored Rum,750,10.62,Jim Beam Brands,FLAVORED RUM
426392,Cruzan Banana,200,3.42,Jim Beam Brands,FLAVORED RUM
98020,Cruzan Banana,200,6.35,Jim Beam Brands,FLAVORED RUM
245476,Cruzan Blackcherry,200,3.42,Jim Beam Brands,FLAVORED RUM
283386,Cruzan Raspberry Rum Mini,502,7.85,Jim Beam Brands,FLAVORED RUM
335366,Cruzan Blackcherry,375,6.35,Jim Beam Brands,FLAVORED RUM
271801,Cruzan Mango,200,3.42,Jim Beam Brands,FLAVORED RUM
367301,Cruzan Guava Rum,750,10.25,Jim Beam Brands,FLAVORED RUM
219749,Calico Cherry Jack,1750,18.89,Jim Beam Brands,FLAVORED RUM
203915,Cruzan Pineapple Rum,750,10.25,Jim Beam Brands,FLAVORED RUM
60888,Cruzan Guava,1000,12.6,Jim Beam Brands,FLAVORED RUM
142517,Cruzan Key Lime,750,10.25,Jim Beam Brands,FLAVORED RUM
284312,Calico Jack Orange Rum,750,7.75,Jim Beam Brands,FLAVORED RUM
99956,Calico Jack Pineapple,750,9.45,Jim Beam Brands,FLAVORED RUM
59122,Calico Jack Whipped,1000,11.81,Jim Beam Brands,FLAVORED RUM
