itemid,nombre,volumen,precio,marca,categoria
451785,Framboise (Raspberry Liqueur),1750,45.89,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
301602,Yahara Bay Lemoncello,1750,60.38,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
407518,Absinthe Blanco,1750,67.95,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
455006,Caipirinha Lime,1000,30.08,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
1956,Caipirinha Lime,750,27.86,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
322471,Caipirinha Lime,375,16.08,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
313163,Caipirinha Lime,200,12.27,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
413986,Caipirinha Lime,100,9.15,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
87675,Caipirinha Lime,50,6.57,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
439258,Gentian Aperitif,1000,24.56,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
186540,Gentian Aperitif,750,23.72,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
117352,Gentian Aperitif,375,14.01,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
25865,Gentian Aperitif,200,11.16,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
236158,Gentian Aperitif,100,8.6,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
229225,Gentian Aperitif,50,6.3,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
111302,Violet Liqueur,750,30.08,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
149382,Violet Liqueur,1000,33.03,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
28284,Violet Liqueur,1750,46.49,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
286442,Violet Liqueur,50,6.72,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
349348,Violet Liqueur,100,9.45,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
275937,Violet Liqueur,200,12.86,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
335641,Violet Liqueur,375,17.19,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
249352,Ginger Liqueur,1750,46.8,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
406553,Orange Liqueur,1750,53.7,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
156522,Green Apple Liqueur,1750,31.16,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
33303,Green Apple Liqueur,1000,24.27,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
91888,Green Apple Liqueur,750,23.51,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
8651,Green Apple Liqueur,375,13.91,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
259487,Green Apple Liqueur,200,11.1,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
425477,Green Apple Liqueur,100,8.57,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
143230,Green Apple Liqueur,50,6.29,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
259357,Elderflower Liqueur,50,6.51,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
428232,Elderflower Liqueur,100,9.0,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
252344,Elderflower Liqueur,200,11.97,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
223829,Elderflower Liqueur,375,15.54,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
179526,Elderflower Liqueur,750,26.76,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
399243,Elderflower Liqueur,1750,38.76,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
45520,Tangerine Liqueur,1750,41.63,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
357313,Tangerine Liqueur,1000,30.26,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
49405,Tangerine Liqueur,750,27.99,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
48968,Tangerine Liqueur,375,16.16,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
346892,Tangerine Liqueur,200,12.3,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
443047,Tangerine Liqueur,100,9.17,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
320130,Tangerine Liqueur,50,6.59,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
78759,Elderflower Liqueur,1000,28.62,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
308438,Yahara Bay Apple Crisp(apple pie),1750,38.61,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
324963,Nut Chocolate,1750,37.85,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
119267,Nussler Nut Spirit,1750,64.89,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
69868,Caipirinha Lime,1750,41.31,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
27020,Yahara Bay Cocoa Liqueur,1750,44.52,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
434277,Honeywill Liqueur,1750,58.61,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
326974,Gentian Aperitif,1750,31.65,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
315919,Hunters Herbal Liqueur,1750,43.79,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
424512,Sour Cherry,1750,36.96,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
361814,Absinthe Blanco,1000,45.3,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
291667,Absinthe Blanco,750,39.27,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
264604,Absinthe Blanco,375,21.8,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
226647,Absinthe Blanco,200,15.32,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
387,Absinthe Blanco,100,10.67,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
246366,Absinthe Blanco,50,7.34,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
57017,Absinthe Verde,1000,39.56,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
414428,Absinthe Verde,750,34.97,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
278100,Absinthe Verde,375,19.64,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
347595,Absinthe Verde,200,14.16,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
463804,Absinthe Verde,100,10.1,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
463989,Absinthe Verde,50,7.05,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
40542,Apricot Grappa,1000,33.11,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
210893,Apricot Grappa,750,30.14,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
389950,Apricot Grappa,375,17.22,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
349506,Apricot Grappa,200,12.87,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
73019,Apricot Grappa,100,9.45,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
205646,Apricot Grappa,50,6.74,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
275625,Framboise Raspberry Liqueur,1000,32.69,"Yahara Bay Distillers, Inc",MISC. IMPORTED CORDIALS & LIQUEURS
