itemid,nombre,volumen,precio,marca,categoria
399503,Catdaddy Spiced Moonshine,750,17.25,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
268772,Midnight Moon Original,750,16.75,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
232131,Midnight Moon Peach,750,16.75,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
420463,Midnight Moon Apple Pie,375,9.0,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
421943,Midnight Moon Apple Pie,750,16.75,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
436172,Midnight Moon Cherry,750,16.75,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
72210,Midnight Moon Strawberry,375,9.0,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
23477,Midnight Moon Strawberry,750,16.75,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
283620,Midnight Moon Blackberry,750,16.75,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
357659,Midnight Moon Blueberry,375,9.0,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
463331,Midnight Moon Blueberry,750,16.75,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
75597,Midnight Moon Cranberry,750,17.25,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
400824,Midnight Moon Raspberry,750,17.25,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
160628,Midnight Moon 100prf,750,17.25,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
396007,Junior Johnson Midnight Moon,750,20.34,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
45628,Midnight Moon Apple Pie VAP,750,16.5,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
98875,Junior Johnson's Midnight Moon Lemonade(dno),750,20.34,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
268417,Junior Johnson's Midnight Moon Hof Series,750,23.15,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
220357,Junior Johnson Apple Pie Midnight Moon,750,20.34,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
107792,Junior Johnson Cherry(do Not Use),750,20.34,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
241950,Junior Johnson Strawberry Midnight Moon,750,20.34,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
190076,Midnight Moon Cinnamon,750,16.5,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY
