itemid,nombre,volumen,precio,marca,categoria
20305,Calumet Farm Bourbon VAP,750,37.56,Western Spirits Beverage Co. LLC,DECANTERS & SPECIALTY PACKAGES
305991,Bird Dog Bourbon w/4-50mls,950,15.0,Western Spirits Beverage Co. LLC,DECANTERS & SPECIALTY PACKAGES
127036,Bird Dog Peach w/4-50mls,950,15.0,Western Spirits Beverage Co. LLC,DECANTERS & SPECIALTY PACKAGES
63603,Bird Dog Peach w/ BBQ Sauce,750,15.0,Western Spirits Beverage Co. LLC,DECANTERS & SPECIALTY PACKAGES
215201,Twenty Grand w/100ml Rose,850,25.5,Western Spirits Beverage Co. LLC,DECANTERS & SPECIALTY PACKAGES
159095,Bird Dog 100ml Variety Pack,400,9.02,Western Spirits Beverage Co. LLC,DECANTERS & SPECIALTY PACKAGES
318051,Bird Dog Blackberry w/4-50mls,950,15.0,Western Spirits Beverage Co. LLC,DECANTERS & SPECIALTY PACKAGES
20934,Bird Dog Peach w/4-50mls,950,15.0,Western Spirits Beverage Co. LLC,DECANTERS & SPECIALTY PACKAGES
