itemid,nombre,volumen,precio,marca,categoria
213807,Pendleton Canadian Whisky,750,19.65,"Hood River Distillers, Inc.",CANADIAN WHISKIES
329467,Pendleton Canadian Whisky,750,19.65,"Hood River Distillers, Inc.",CANADIAN WHISKIES
430057,Pendleton Canadian Whisky,1750,35.12,"Hood River Distillers, Inc.",CANADIAN WHISKIES
358230,Pendleton Canadian Whisky,1750,36.12,"Hood River Distillers, Inc.",CANADIAN WHISKIES
389018,Pendleton Limited Edition WNP15,750,19.65,"Hood River Distillers, Inc.",CANADIAN WHISKIES
169978,Pendleton 1910,750,30.0,"Hood River Distillers, Inc.",CANADIAN WHISKIES
299264,Pendleton Midnight,750,26.13,"Hood River Distillers, Inc.",CANADIAN WHISKIES
388558,Sinfire Mini,600,8.25,"Hood River Distillers, Inc.",CANADIAN WHISKIES
170052,Sinfire,750,6.45,"Hood River Distillers, Inc.",CANADIAN WHISKIES
77117,Pendleton Canadian Whisky,750,17.6,"Hood River Distillers, Inc.",CANADIAN WHISKIES
391740,Pendleton Canadian Whisky,1750,35.0,"Hood River Distillers, Inc.",CANADIAN WHISKIES
410889,Pendleton 20 Yr Directors Reserve - DNO,750,93.75,"Hood River Distillers, Inc.",CANADIAN WHISKIES
