itemid,nombre,volumen,precio,marca,categoria
460728,Itty Bitty Juggs Sample Pack,200,4.5,Broadbent Distillery,MISC. AMERICAN CORDIALS & LIQUEURS
257551,Itty Bitty Juggs Sample Pack,200,4.5,Broadbent Distillery,MISC. AMERICAN CORDIALS & LIQUEURS
373514,Juggs Blueberry Bazoombas,750,19.94,Broadbent Distillery,MISC. AMERICAN CORDIALS & LIQUEURS
148338,Juggs Cherry Cha-Cha's,750,19.94,Broadbent Distillery,MISC. AMERICAN CORDIALS & LIQUEURS
411920,Juggs Strawberry Sistas,750,19.94,Broadbent Distillery,MISC. AMERICAN CORDIALS & LIQUEURS
315193,Juggs Cherry Cha-Chas,750,19.94,Broadbent Distillery,MISC. AMERICAN CORDIALS & LIQUEURS
441813,Bella Limoncello,750,14.79,Broadbent Distillery,MISC. AMERICAN CORDIALS & LIQUEURS
135142,Bella Orangecello,750,14.79,Broadbent Distillery,MISC. AMERICAN CORDIALS & LIQUEURS
