itemid,nombre,volumen,precio,marca,categoria
171427,Arrow Apricot Flav Brandy,750,8.07,Luxco-St Louis,APRICOT BRANDIES
133224,Arrow Apricot Flav Brandy,1000,9.57,Luxco-St Louis,APRICOT BRANDIES
353433,Paramount Apricot Flavored Brandy,375,5.33,Luxco-St Louis,APRICOT BRANDIES
407608,Paramount Apricot Flavored Brandy,750,8.22,Luxco-St Louis,APRICOT BRANDIES
19278,Paramount Apricot Flavored Brandy,1000,9.8,Luxco-St Louis,APRICOT BRANDIES
174417,Paramount Apricot Flavored Brandy,1750,16.94,Luxco-St Louis,APRICOT BRANDIES
151410,Arrow Apricot Brandy,375,3.92,Luxco-St Louis,APRICOT BRANDIES
98012,Paramount Ginger Brandy,750,8.23,Luxco-St Louis,APRICOT BRANDIES
