itemid,nombre,volumen,precio,marca,categoria
68106,Zyr Vodka,750,25.31,MHW Ltd,IMPORTED VODKA
403,Alchemy Chocolate Vodka,750,25.91,MHW Ltd,IMPORTED VODKA
421987,Alchemia Chocolate Vodka,750,24.53,MHW Ltd,IMPORTED VODKA
186491,Alchemia Ginger Vodka,750,24.53,MHW Ltd,IMPORTED VODKA
76617,Alchemia Wild Cherry Vodka,750,24.53,MHW Ltd,IMPORTED VODKA
202354,Double Cross,750,26.25,MHW Ltd,IMPORTED VODKA
2829,Chopin Vodka,750,22.91,MHW Ltd,IMPORTED VODKA
187374,Chopin Vodka,1750,45.0,MHW Ltd,IMPORTED VODKA
16910,Chopin Vodka,1000,27.74,MHW Ltd,IMPORTED VODKA
463871,Chopin Vodka,750,23.75,MHW Ltd,IMPORTED VODKA
391662,Russian Standard Imperia Vodka,750,30.0,MHW Ltd,IMPORTED VODKA
207420,Sv Supreme Vodka,750,26.51,MHW Ltd,IMPORTED VODKA
237422,Chopin Rye Vodka,750,23.75,MHW Ltd,IMPORTED VODKA
410504,Chopin Wheat Vodka,750,23.75,MHW Ltd,IMPORTED VODKA
425228,Zyr Vodka,1750,50.63,MHW Ltd,IMPORTED VODKA
83981,267 Vodka Cranberries,750,16.62,MHW Ltd,IMPORTED VODKA
286508,Russian Standard Original Vodka,750,17.72,MHW Ltd,IMPORTED VODKA
336248,Effen Vodka,750,22.5,MHW Ltd,IMPORTED VODKA
47940,267 Vodka Olives And Onions,750,16.62,MHW Ltd,IMPORTED VODKA
365691,Is Vodka,750,24.0,MHW Ltd,IMPORTED VODKA
20158,Christiania Vodka,750,31.76,MHW Ltd,IMPORTED VODKA
396802,Xellent Swiss Vodka,750,23.4,MHW Ltd,IMPORTED VODKA
