itemid,nombre,volumen,precio,marca,categoria
198539,Herradura Silver,750,34.56,Brown-Forman Corporation,TEQUILA
19789,Herradura Anejo,750,42.81,Brown-Forman Corporation,TEQUILA
392355,Herradura Gold Reposado 6pak,750,35.37,Brown-Forman Corporation,TEQUILA
81939,Herradura Blanco Silver 6x6 Tequila,750,29.91,Brown-Forman Corporation,TEQUILA
54982,Herradura Gold Reposado 6x6 Tequila,750,33.89,Brown-Forman Corporation,TEQUILA
364437,Don Eduardo Silver Tequila,750,33.74,Brown-Forman Corporation,TEQUILA
326779,El Jimador Silver Tequila,750,17.48,Brown-Forman Corporation,TEQUILA
450565,Herradura Blanco Silver Tequila,750,29.91,Brown-Forman Corporation,TEQUILA
358383,Herradura Blanc Silver Tequila,750,29.91,Brown-Forman Corporation,TEQUILA
41033,Don Eduardo Anejo Tequila,750,37.5,Brown-Forman Corporation,TEQUILA
78379,Don Eduardo Reposado,750,38.33,Brown-Forman Corporation,TEQUILA
386247,El Jimador Anejo Tequila,750,20.78,Brown-Forman Corporation,TEQUILA
332721,El Jimador Reposado Tequila,750,17.48,Brown-Forman Corporation,TEQUILA
80299,Herradura Anejo Tequila,750,40.53,Brown-Forman Corporation,TEQUILA
363368,Herradura Gold Reposado Tequila,750,33.89,Brown-Forman Corporation,TEQUILA
125530,Pepe Lopez Gold,750,11.25,Brown-Forman Corporation,TEQUILA
244834,Herradura Reposado Buy the Barrel,750,51.75,Brown-Forman Corporation,TEQUILA
59885,Don Eduardo Silver Tequila,750,33.74,Brown-Forman Corporation,TEQUILA
147746,El Jimador Anejo Tequila,750,26.13,Brown-Forman Corporation,TEQUILA
303178,Herradura Blanco 92 Prf,750,34.62,Brown-Forman Corporation,TEQUILA
438603,Herradura Anejo 3pak Tequila (dno),750,40.53,Brown-Forman Corporation,TEQUILA
208989,Herradura Silver Tequila 3-Pak,750,31.7,Brown-Forman Corporation,TEQUILA
80062,El Jimador Blanco Tequila,750,15.95,Brown-Forman Corporation,TEQUILA
191608,El Jimador Reposado Tequila,750,23.04,Brown-Forman Corporation,TEQUILA
283579,Herradura Seleccion Suprema (dno),750,269.22,Brown-Forman Corporation,TEQUILA
231656,Herradura Blanco Silver 80 Prf Tequila,750,31.41,Brown-Forman Corporation,TEQUILA
326268,El Jimador Reposado(don't Use Code),375,10.35,Brown-Forman Corporation,TEQUILA
163297,Don Eduardo Anejo Tequila,750,46.04,Brown-Forman Corporation,TEQUILA
299679,Herradura Anejo 6x6 12pak(dno),750,40.53,Brown-Forman Corporation,TEQUILA
365411,Herradura Seleccion Suprema Tequila,750,258.18,Brown-Forman Corporation,TEQUILA
379697,Don Eduardo Reposado,750,38.33,Brown-Forman Corporation,TEQUILA
698,El Jimador Blanco Tequila,375,8.79,Brown-Forman Corporation,TEQUILA
114302,El Jimador Reposado Tequila,1750,27.75,Brown-Forman Corporation,TEQUILA
333566,El Jimador Silver Tequila,1750,27.75,Brown-Forman Corporation,TEQUILA
294790,El Jimador Reposado Tequila,375,8.79,Brown-Forman Corporation,TEQUILA
80226,El Jimador Reposado Tequila Mini,50,14.81,Brown-Forman Corporation,TEQUILA
