itemid,nombre,volumen,precio,marca,categoria
31591,Pucker Vodka 50ml Gravity Feed,2000,40.02,Jim Beam Brands,VODKA FLAVORED
289126,Skinnygirl Meyer Lemon,750,15.74,Jim Beam Brands,VODKA FLAVORED
13925,Pucker Vodka Watermelon Mini,600,8.46,Jim Beam Brands,VODKA FLAVORED
239559,Pucker Vodka Watermelon,750,11.81,Jim Beam Brands,VODKA FLAVORED
111122,Skinnygirl White Cherry,750,15.74,Jim Beam Brands,VODKA FLAVORED
452908,Skinnygirl Island Coconut,750,15.74,Jim Beam Brands,VODKA FLAVORED
419231,Skinnygirl Cucumber,750,15.74,Jim Beam Brands,VODKA FLAVORED
466321,Skinnygirl Tangerine,750,15.74,Jim Beam Brands,VODKA FLAVORED
173619,Pucker Vodka Lemonade Lust,750,14.18,Jim Beam Brands,VODKA FLAVORED
422159,Pucker Vodka Raspberry Rave,750,11.81,Jim Beam Brands,VODKA FLAVORED
13753,Pucker Vodka Wild Cherry Tease,750,11.81,Jim Beam Brands,VODKA FLAVORED
3854,Pucker Vodka Citrus Squeeze,750,14.18,Jim Beam Brands,VODKA FLAVORED
44561,Pucker Vodka Grape Gone Wild,750,11.81,Jim Beam Brands,VODKA FLAVORED
66146,Pucker Vodka Sour Apple Sass,750,11.81,Jim Beam Brands,VODKA FLAVORED
360673,Skinnygirl Island Coconut,750,18.11,Jim Beam Brands,VODKA FLAVORED
414906,Skinnygirl Cucumber,750,18.11,Jim Beam Brands,VODKA FLAVORED
227777,Skinnygirl Tangerine,750,18.11,Jim Beam Brands,VODKA FLAVORED
125780,Pucker Vodka Watermelon,750,11.81,Jim Beam Brands,VODKA FLAVORED
211483,Skinnygirl Tangerine,750,15.74,Jim Beam Brands,VODKA FLAVORED
175688,Pucker Vodka Citrus Squeeze,750,14.06,Jim Beam Brands,VODKA FLAVORED
466135,Pucker Vodka Sour Apple Sass,750,11.81,Jim Beam Brands,VODKA FLAVORED
9975,Pinnacle Mango Vodka,1000,12.81,Jim Beam Brands,VODKA FLAVORED
