itemid,nombre,volumen,precio,marca,categoria
17479,After Shock Cinnamon Liqueur Mini,500,23.75,Jim Beam Brands,CINNAMON SCHNAPPS
10581,After Shock Cinnamon Liqueur,750,17.31,Jim Beam Brands,CINNAMON SCHNAPPS
49813,Dekuyper Hot Damn Hot Cinnamon Schnapps,1750,15.75,Jim Beam Brands,CINNAMON SCHNAPPS
188669,Dekuyper Hot Damn!,1000,11.81,Jim Beam Brands,CINNAMON SCHNAPPS
414302,Dekuyper Hot Damn!,750,9.45,Jim Beam Brands,CINNAMON SCHNAPPS
140661,Dekuyper Hot Damn! Traveler,750,9.45,Jim Beam Brands,CINNAMON SCHNAPPS
156302,Dekuyper Hot Damn!,375,4.61,Jim Beam Brands,CINNAMON SCHNAPPS
314029,Dekuyper Hot Damn! Pet,1750,17.31,Jim Beam Brands,CINNAMON SCHNAPPS
63136,Dekuyper Hot Damn Hot Cinnamon Schnapps,1750,15.75,Jim Beam Brands,CINNAMON SCHNAPPS
246354,Dekuyper Hot Damn Hot Cinnamon Schnapps,375,4.28,Jim Beam Brands,CINNAMON SCHNAPPS
262591,Dekuyper Hot Damn Hot Cinnamon Schnapps,750,8.25,Jim Beam Brands,CINNAMON SCHNAPPS
273168,Dekuyper Hot Damn Hot Cinnamon Schnapps,1000,9.29,Jim Beam Brands,CINNAMON SCHNAPPS
240721,Dekuyper Hot Damn Hot Cinnamon Traveler,750,8.25,Jim Beam Brands,CINNAMON SCHNAPPS
217584,Dekuyper Hot Damn! 100 Proof,750,10.16,Jim Beam Brands,CINNAMON SCHNAPPS
135918,After Shock Cinnamon Liqueur,50,1.08,Jim Beam Brands,CINNAMON SCHNAPPS
170403,Dekuyper Hot Damn Cinnamon Schnapps,200,2.27,Jim Beam Brands,CINNAMON SCHNAPPS
167900,Dekuyper Hot Damn 100prf,375,6.3,Jim Beam Brands,CINNAMON SCHNAPPS
64776,Dekuyper Hot 100 Cinnamon Schnapps,1000,11.55,Jim Beam Brands,CINNAMON SCHNAPPS
117977,Dekuyper Cinnamon Schnapps,1000,10.23,Jim Beam Brands,CINNAMON SCHNAPPS
42885,Dekuyper Hot Damn Mini,502,7.85,Jim Beam Brands,CINNAMON SCHNAPPS
316135,After Shock Cinnamon Liqueur,50,2.15,Jim Beam Brands,CINNAMON SCHNAPPS
