itemid,nombre,volumen,precio,marca,categoria
351464,Blue Chair Bay Vanilla Rum,750,14.13,MHW Ltd,FLAVORED RUM
461314,Blue Chair Bay Banana Rum Mini,500,7.58,MHW Ltd,FLAVORED RUM
51755,Blue Chair Bay Coconut Rum Mini,500,7.58,MHW Ltd,FLAVORED RUM
234169,Blue Chair Bay Coconut Spiced Rum Mini,500,7.58,MHW Ltd,FLAVORED RUM
280375,Blue Chair Bay Vanilla Rum Mini,500,7.58,MHW Ltd,FLAVORED RUM
43392,Blue Chair Bay Banana,750,14.13,MHW Ltd,FLAVORED RUM
37043,Blue Chair Bay Coconut,750,14.13,MHW Ltd,FLAVORED RUM
139936,Blue Chair Bay Coconut Spiced,750,14.13,MHW Ltd,FLAVORED RUM
245985,Four Square Spiced Rum,750,14.4,MHW Ltd,FLAVORED RUM
123664,St Elizabeth Allspice Dram,750,24.38,MHW Ltd,FLAVORED RUM
126623,267 Rum Mango,750,16.62,MHW Ltd,FLAVORED RUM
362348,Four Square Rum(dno),750,14.4,MHW Ltd,FLAVORED RUM
181687,St Elizabeth Allspice Dram(do Not Use),750,51.0,MHW Ltd,FLAVORED RUM
24418,Blue Chair Bay Vanilla Rum,1750,22.8,MHW Ltd,FLAVORED RUM
