itemid,nombre,volumen,precio,marca,categoria
180199,Paramount Mango Long Ilsand Iced Tea,1000,6.39,Luxco-St Louis,AMERICAN COCKTAILS
369000,Salvador's Strawberry Margarita,1750,8.25,Luxco-St Louis,AMERICAN COCKTAILS
37322,Salvador's Mango Margarita,1750,8.79,Luxco-St Louis,AMERICAN COCKTAILS
312610,Salvador's Fishbowl Mixed,50,0.45,Luxco-St Louis,AMERICAN COCKTAILS
308764,Salvador's Orig Margarita,200,1.31,Luxco-St Louis,AMERICAN COCKTAILS
109700,Salvador's Blue Margarita,200,1.53,Luxco-St Louis,AMERICAN COCKTAILS
405950,Salvador's Strawberry Margarita,200,1.53,Luxco-St Louis,AMERICAN COCKTAILS
96609,Salvador's Mango Margarita,200,1.53,Luxco-St Louis,AMERICAN COCKTAILS
58983,Colonial Club Long Island Ice Tea,200,1.53,Luxco-St Louis,AMERICAN COCKTAILS
462984,Colonial Club Long Island Ice Tea,750,4.87,Luxco-St Louis,AMERICAN COCKTAILS
