itemid,nombre,volumen,precio,marca,categoria
52928,Pearl Lococo Coconut,402,10.32,Luxco-St Louis,VODKA FLAVORED
117659,Pearl Lococo Coconut,402,10.32,Luxco-St Louis,VODKA FLAVORED
162926,Hound Dog Original Sweet Tea Vodka,750,12.6,Luxco-St Louis,VODKA FLAVORED
368766,Hawkeye Cherry,1000,7.52,Luxco-St Louis,VODKA FLAVORED
320914,Hawkeye Grape,1000,7.52,Luxco-St Louis,VODKA FLAVORED
464895,Hawkeye Bacon Vodka,1000,7.52,Luxco-St Louis,VODKA FLAVORED
289984,Hound Dog Lemonade Sweet Tea Vodka,750,12.6,Luxco-St Louis,VODKA FLAVORED
13193,Hawkeye Blue Raspberry Vodka,1000,7.52,Luxco-St Louis,VODKA FLAVORED
452720,Paramount Cherry Vodka,750,7.25,Luxco-St Louis,VODKA FLAVORED
332531,Hawkeye Bacon Vodka,1000,7.52,Luxco-St Louis,VODKA FLAVORED
72777,Paramount Ultra Bubble Vodka,750,7.08,Luxco-St Louis,VODKA FLAVORED
307279,Paramount Sweet Tea Vodka,1000,9.29,Luxco-St Louis,VODKA FLAVORED
372603,Paramount Dragon Fruit,750,10.01,Luxco-St Louis,VODKA FLAVORED
156436,Pearl Lococo Coconut,50,1.29,Luxco-St Louis,VODKA FLAVORED
