itemid,nombre,volumen,precio,marca,categoria
434591,Grey Goose L'orange Vod Cosmo Glass Sets,750,22.97,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
236000,Grey Goose Le Citron Rocks Glass Pack,750,23.19,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
171030,Tommy Bahama White Sand Canvas Picnic Pack,750,24.0,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
224605,Tommy Bahama White Sand Canvas Picnic Pack,750,24.0,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
387105,Michael Collins Flask / Golf Set,750,23.51,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
129974,Michael Collins Irish Why Glass Set,750,23.51,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
310432,Grey Goos Vodka W/silk Tie,750,22.92,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
187649,Grey Goose Vodka Martini Glass Set,375,12.54,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
92198,Jagermeister Staghead Pourer,750,17.37,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
856,Jagermeister Flask Pack,375,9.35,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
101714,Jagermeister T-Shirt Pack,750,18.08,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
100095,Jagermeister Stein Co-Pack,750,16.29,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
28948,Jagermeister Liqueur Pewter Shooter,750,18.06,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
374859,Jagermeister Pewter Shooter Pack,1750,38.45,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
154787,Jagermeister Cocktail Glass Set,375,9.77,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
225963,Jagermeister w/Flask,750,18.08,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
319602,Jagermeister Celebration Bucket,750,18.06,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
59254,Corazon Reposado Tequila Snifter Pack,750,40.43,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
381449,Corazon Blanco Tequila Wood Box Glass Set,750,37.68,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
247427,Corazon Blanco W/50ml,750,37.7,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
204070,Jagermeister w/Shot Glasses,750,18.08,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES
