itemid,nombre,volumen,precio,marca,categoria
413921,Bailey's Irish Cream St. Patrick's Day,1207,33.81,Diageo Americas,CREAM LIQUEURS
76196,Godet Cream Liqueur,603,20.25,Diageo Americas,CREAM LIQUEURS
177179,Godet Cream Liqueur,750,18.26,Diageo Americas,CREAM LIQUEURS
121086,Baileys Expresso Creme,750,18.75,Diageo Americas,CREAM LIQUEURS
429769,Bailey's Light Irish Cream,750,17.64,Diageo Americas,CREAM LIQUEURS
72422,Bailey's Chocolate Cherry,750,18.75,Diageo Americas,CREAM LIQUEURS
152433,Baileys Carmel Irish Cream,1005,35.9,Diageo Americas,CREAM LIQUEURS
313391,Bailey's Salted Caramel,750,18.75,Diageo Americas,CREAM LIQUEURS
211718,Baileys Mint Chocolate Irish Cream,1005,35.9,Diageo Americas,CREAM LIQUEURS
333089,Bailey's Mint Chocolate Irish Cream,750,19.5,Diageo Americas,CREAM LIQUEURS
419468,Bailey's Original Irish Cream Minis,1000,37.88,Diageo Americas,CREAM LIQUEURS
398489,Bailey's Irish Cream Liqueur,200,34.67,Diageo Americas,CREAM LIQUEURS
309778,Bailey's Original Irish Cream,375,10.5,Diageo Americas,CREAM LIQUEURS
142671,Bailey's Original Irish Cream,750,18.75,Diageo Americas,CREAM LIQUEURS
52888,Bailey's Original Irish Cream,1000,24.75,Diageo Americas,CREAM LIQUEURS
413990,Bailey's Original Irish Cream,1750,37.5,Diageo Americas,CREAM LIQUEURS
165773,Bailey's Original Irish Cream,2400,43.07,Diageo Americas,CREAM LIQUEURS
443188,Bailey's Coffee Irish Cream,750,19.88,Diageo Americas,CREAM LIQUEURS
357474,Bailey's Hazelnut Irish Cream Mini,1000,37.86,Diageo Americas,CREAM LIQUEURS
168386,Bailey's Hazelnut Irish Cream,750,19.88,Diageo Americas,CREAM LIQUEURS
321577,Bailey's Vanilla Cinnamon Mini,1000,37.88,Diageo Americas,CREAM LIQUEURS
258901,Bailey's Vanilla Cinnamon,750,18.75,Diageo Americas,CREAM LIQUEURS
6731,Emmets Irish Cream Liqueur,750,9.75,Diageo Americas,CREAM LIQUEURS
184716,O'darby Irish Cream Liqueur,750,9.5,Diageo Americas,CREAM LIQUEURS
41803,O'darby Irish Cream Liqueur,1000,12.5,Diageo Americas,CREAM LIQUEURS
285758,Godiva Caramel Milk Chocolate Liqueur,750,24.63,Diageo Americas,CREAM LIQUEURS
349140,Godiva Liqueur,750,25.5,Diageo Americas,CREAM LIQUEURS
458919,Godiva Dark Chocolate,750,25.5,Diageo Americas,CREAM LIQUEURS
282064,Godiva White Chocolate Liqueur,750,25.5,Diageo Americas,CREAM LIQUEURS
204777,Baileys Carmel Irish Cream,50,1.61,Diageo Americas,CREAM LIQUEURS
31514,Baileys Mint Chocolate Irish Cream,50,1.61,Diageo Americas,CREAM LIQUEURS
105812,Bailey's Original Irish Cream,50,1.61,Diageo Americas,CREAM LIQUEURS
26102,Bailey's Irish Cream,100,2.58,Diageo Americas,CREAM LIQUEURS
302563,Godiva Milk Chocolate Liqueur,750,24.63,Diageo Americas,CREAM LIQUEURS
350734,Bailey's Irish Cream,200,5.78,Diageo Americas,CREAM LIQUEURS
1171,Emmets Irish Cream,1750,19.37,Diageo Americas,CREAM LIQUEURS
181483,Godet Cream Liqueur,50,0.76,Diageo Americas,CREAM LIQUEURS
50259,Godiva Dark Chocolate,750,25.5,Diageo Americas,CREAM LIQUEURS
