itemid,nombre,volumen,precio,marca,categoria
41007,Balvenie Trio Pack,150,12.0,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
175086,Glenfiddich Trio Pack,150,11.52,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
241752,Glenfiddich 30 Yr Scotch,750,639.0,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
291060,Glenfiddich 15yr Cask Strength Scotch,750,31.76,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
426947,Glenfiddich 18 Yr Ancient Reserve,750,71.66,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
291728,Glenfiddich 15 Yr Solera Reserva,750,48.0,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
405714,Glenfiddich 18YR,750,74.97,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
413870,Glenfiddich 14YR,750,40.01,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
407370,Glenfiddich 40yr,750,1725.0,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
258335,Balvenie 1974 Single Cask,750,562.5,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
445776,Glenfiddich 21yr Gran Reserva HA,750,139.99,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
459546,Balvenie 12yr Doublewood Single Malt Scotch,750,51.89,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
253084,Balvenie Founders Reserve,750,41.63,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
270224,Balvenie Caribbean Cask 14yr,750,59.94,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
412981,Balvenie 15yr Sherry Cask,750,87.75,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
450404,Balvenie 15yr Single Barrel Scotch,750,64.8,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
119942,Balvenie 17yr Rum Cask Single Malt(dno),750,100.47,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
335235,Balvenie 21yr Portwood Scotch,750,122.75,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
303776,Balvenie 21YR,750,181.83,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
233644,Balvenie 17yr Madeira Cask,750,100.47,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
422905,Balvenie New Wood 17 Year Scotch,750,69.23,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
86633,"Balvenie Sherry Oak, 17 Year (dno)",750,94.61,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
84810,Balvenie 17yr New Oak Scotch(dno),750,94.61,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
34843,Balvenie Tun 140(dno),750,199.5,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
236512,Glenfiddich Single Malt Scotch,603,29.49,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
76615,Glenfiddich Gran Reserva 21 Year HA,750,122.51,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
287356,Glenfiddich 12yr Single Malt Scotch,375,15.23,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
317557,Glenfiddich 12yr Special Reserve,750,34.47,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
354764,Balvenie Trio Pack(12/14/17),15,15.99,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH
