itemid,nombre,volumen,precio,marca,categoria
120990,Chivas Regal 12yr Scotch Minis,603,23.94,Pernod Ricard USA/Austin Nichols,SCOTCH WHISKIES
112654,Chivas Regal 25 Year Old,750,224.9,Pernod Ricard USA/Austin Nichols,SCOTCH WHISKIES
11523,Ballantines Finest,1750,32.9,Pernod Ricard USA/Austin Nichols,SCOTCH WHISKIES
252203,Chivas Royal Salute,50,5.55,Pernod Ricard USA/Austin Nichols,SCOTCH WHISKIES
200536,Passport Scotch,750,10.49,Pernod Ricard USA/Austin Nichols,SCOTCH WHISKIES
346673,Passport Scotch,1000,12.53,Pernod Ricard USA/Austin Nichols,SCOTCH WHISKIES
221481,Passport Scotch,1750,20.99,Pernod Ricard USA/Austin Nichols,SCOTCH WHISKIES
444712,Chivas Regal,375,14.24,Pernod Ricard USA/Austin Nichols,SCOTCH WHISKIES
