itemid,nombre,volumen,precio,marca,categoria
5290,1800 Coconut,750,23.19,Proximo,TEQUILA
340203,1800 Silver Tequila,1750,33.75,Proximo,TEQUILA
218431,Jose Cuervo Cinge Mini,500,17.25,Proximo,TEQUILA
319680,Jose Cuervo Cinge,750,15.87,Proximo,TEQUILA
441535,Jose Cuervo Tropina,750,15.15,Proximo,TEQUILA
332295,Jose Cuervo Citrico (no Longer Produced),750,15.15,Proximo,TEQUILA
96233,Jose Cuervo Citrico,502,17.25,Proximo,TEQUILA
229808,Jose Cuervo Oranjo,750,15.15,Proximo,TEQUILA
420565,Jose Cuervo Oranjo,502,17.25,Proximo,TEQUILA
146306,Jose Cuervo Tropina,502,17.25,Proximo,TEQUILA
391220,1800 Coconut Mini,500,4.95,Proximo,TEQUILA
128051,Jose Cuervo Tropina,50,1.53,Proximo,TEQUILA
251871,Jose Cuervo Citrico,50,1.53,Proximo,TEQUILA
261013,Jose Cuervo Oranjo,50,1.53,Proximo,TEQUILA
463930,Jose Cuervo Especial Silver Tequila Mini,500,17.25,Proximo,TEQUILA
273304,Jose Cuervo Especial Silver Tequila,200,4.5,Proximo,TEQUILA
306590,Jose Cuervo Especial Silver,375,8.25,Proximo,TEQUILA
126332,Jose Cuervo Platino Reserva De La Familia,750,11.25,Proximo,TEQUILA
20659,Jose Cuervo Especial Silver,750,15.74,Proximo,TEQUILA
88904,Jose Cuervo Especial Silver,1000,18.75,Proximo,TEQUILA
427591,Jose Cuervo Especial Silver,1750,30.38,Proximo,TEQUILA
41592,"Jose Cuervo Silver \"Rolling Stones\"",750,15.75,Proximo,TEQUILA
80965,Jose Cuervo Tradicional Silver,750,16.5,Proximo,TEQUILA
19,Jose Cuervo Classico,750,15.74,Proximo,TEQUILA
80554,Jose Cuervo Classico,1750,30.38,Proximo,TEQUILA
127631,Jose Cuervo White Tequila,750,15.2,Proximo,TEQUILA
297268,Jose Cuervo White Tequila,1000,18.8,Proximo,TEQUILA
35287,Gran Centenario Plata White,750,40.5,Proximo,TEQUILA
355312,1800 Silver Tequila,375,13.44,Proximo,TEQUILA
46938,1800 Silver Tequila,750,23.19,Proximo,TEQUILA
233203,1800 Silver,1000,23.19,Proximo,TEQUILA
269300,1800 Essential Artist Series,750,20.76,Proximo,TEQUILA
215776,1800 Essential Tequila,750,21.75,Proximo,TEQUILA
295184,El Zarco Silver,750,11.51,Proximo,TEQUILA
270056,Azul Silver,750,16.37,Proximo,TEQUILA
296581,Maestro Dobel Diamond Tequila(dno),750,37.5,Proximo,TEQUILA
452628,Jose Cuervo Especial Reposado Tequila,50,1.17,Proximo,TEQUILA
261582,Jose Cuervo Black Medallion Mini,50,3.02,Proximo,TEQUILA
248320,Azul Reposado,750,16.38,Proximo,TEQUILA
301788,Jose Cuervo Especial Reposado Tequila Mini,500,17.25,Proximo,TEQUILA
5821,Jose Cuervo Especial Reposado Tequila,200,4.5,Proximo,TEQUILA
170823,Jose Cuervo Especial Reposado Flask,375,8.25,Proximo,TEQUILA
445258,Jose Cuervo Especial Reposado Tequila,750,15.74,Proximo,TEQUILA
213876,Jose Cuervo Especial Reposado Tequila,1000,18.75,Proximo,TEQUILA
428701,Jose Cuervo Especial Reposado Tequila,1750,30.38,Proximo,TEQUILA
339921,Jose Cuervo Especial Reposado Square,375,8.25,Proximo,TEQUILA
313462,1800 Reposado Tequila,375,13.44,Proximo,TEQUILA
433004,1800 Reposado Tequila,750,23.19,Proximo,TEQUILA
380313,1800 Reposado,1000,23.19,Proximo,TEQUILA
99296,1800 Reposado,1750,33.75,Proximo,TEQUILA
248004,Jose Cuervo Reserva De La Familia,750,86.12,Proximo,TEQUILA
58804,Jose Cuervo Black Medallion,502,30.12,Proximo,TEQUILA
8833,Jose Cuervo Black Medallion,750,18.75,Proximo,TEQUILA
188051,Jose Cuervo Tradicional Reposado Tequila,750,22.35,Proximo,TEQUILA
110583,Cuervo Tradicional Tequila,750,21.6,Proximo,TEQUILA
201882,Cuervo Mistico,750,11.48,Proximo,TEQUILA
250375,1800 Anejo Tequila,750,33.62,Proximo,TEQUILA
382152,Gran Centenario Anejo,750,45.96,Proximo,TEQUILA
381150,Gran Centenario Reposado Gold,750,42.11,Proximo,TEQUILA
19976,Gran Centenario Anejo,750,45.96,Proximo,TEQUILA
431632,El Zarco Gold,750,11.51,Proximo,TEQUILA
174947,Maestro Dobel,750,37.01,Proximo,TEQUILA
455275,Matador Gold Tequila,750,9.5,Proximo,TEQUILA
371155,Matador Gold Tequila,1000,9.75,Proximo,TEQUILA
3020,Matador Gold Tequila,1000,9.74,Proximo,TEQUILA
49466,Gran Centenario Plata,750,40.5,Proximo,TEQUILA
141157,1800 Tequila Reposado,375,13.44,Proximo,TEQUILA
229504,Jose Cuervo Reserva De La Familia,750,93.72,Proximo,TEQUILA
196659,Jose Cuervo Anejo,750,30.39,Proximo,TEQUILA
316976,Cuervo 1800 Anejo,750,32.0,Proximo,TEQUILA
325601,Gran Centenario Anejo,750,45.96,Proximo,TEQUILA
464544,Gran Centenario Reposado,750,42.11,Proximo,TEQUILA
371470,1800 Select Silver Tequila,750,24.72,Proximo,TEQUILA
145525,Gran Centenario Rosangel,750,28.46,Proximo,TEQUILA
277689,Jose Cuervo Especial Silver,375,8.24,Proximo,TEQUILA
399049,Jose Cuervo Especial Silver,200,4.5,Proximo,TEQUILA
222164,Jose Cuervo Black Medallion,1000,23.4,Proximo,TEQUILA
151228,Jose Cuervo Especial Silver Mini,500,17.25,Proximo,TEQUILA
109786,Jose Cuervo Platino Reserva De La Familia,750,45.0,Proximo,TEQUILA
361467,Jose Cuervo Tradicional Silver,750,16.5,Proximo,TEQUILA
172470,1800 Silver Tequila,200,7.01,Proximo,TEQUILA
29167,1800 Silver Tequila,375,12.75,Proximo,TEQUILA
445860,1800 Silver Tequila,1750,36.75,Proximo,TEQUILA
38175,Gran Centenario Tenampa Azul Silver DNO,750,16.37,Proximo,TEQUILA
464998,Gran Centenario Tenampa Azul Reposado DNO,750,16.38,Proximo,TEQUILA
459201,Cuervo Especial Gold Tequila P.e.t.,50,1.17,Proximo,TEQUILA
179733,1800 Reposado Tequila,375,13.53,Proximo,TEQUILA
51650,Jose Cuervo La Reserva de la Familia,750,112.5,Proximo,TEQUILA
21838,Gran Centenario Leyenda Tequila,750,192.3,Proximo,TEQUILA
148328,El Zarco Gold Tequila,750,11.51,Proximo,TEQUILA
411914,Maestro Dobel Tequila,750,36.99,Proximo,TEQUILA
