itemid,nombre,volumen,precio,marca,categoria
266825,Iowish Whiskey,750,28.76,Mississippi River Distilling Co.,BLENDED WHISKIES
62641,Mono Loco,375,13.64,Mississippi River Distilling Co.,BLENDED WHISKIES
45870,Queen Bee Honey Whiskey,375,13.64,Mississippi River Distilling Co.,BLENDED WHISKIES
27832,Wide River Wheat Whiskey,375,16.64,Mississippi River Distilling Co.,BLENDED WHISKIES
124530,Stone Fence Apple Cider Whiskey,375,13.64,Mississippi River Distilling Co.,BLENDED WHISKIES
363831,Farmer Brown Whiskey,375,13.64,Mississippi River Distilling Co.,BLENDED WHISKIES
59584,Dannie Diesel American Whiskey,750,28.76,Mississippi River Distilling Co.,BLENDED WHISKIES
406705,Six Shooter Smoke,375,13.64,Mississippi River Distilling Co.,BLENDED WHISKIES
