itemid,nombre,volumen,precio,marca,categoria
50385,Seagram Blue Beast Gin & Juice,375,3.6,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
181462,Seagram Red Blast Gin & Juice(dno),375,3.99,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
293576,Seagrams Gin & Juice (dno),375,3.6,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
409426,Seagrams Gin & Juice,750,7.49,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
243218,Seagrams Gin & Juice,200,1.49,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
377617,Seagram Tropical Gin & Juice(dno),375,3.99,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
220445,Seagram Passion Gin & Juice(dno),375,3.99,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
36370,Seagram Blue Beast Gin & Juice,750,7.49,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
124687,Seagram Red Blast Gin & Juice(dno),750,6.85,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
297097,Seagram Passion Gin & Juice,200,2.22,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
3155,Seag Lemon Splash G&j (dno),200,2.22,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
371067,Seagram Passion Gin & Juice,750,6.86,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
210279,Seagram Lemon Splash Gin & Juice,750,6.86,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
312357,Seagram Hunch Punch Gin & Juice,750,6.85,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
153035,Seagram Tropical Gin & Juice,750,6.85,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
100188,Seagrams Grapefruit Twist Gin,375,4.41,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
255380,Seagram Red Grapefruit Gin &(dno),375,3.99,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
29579,Seagram Blue Beast Gin & Juice,200,1.49,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
338495,Seagram Red Blast Gin & Juice(dno),200,2.22,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
279764,Seagram's Gin & Juice Tropical Thunder,375,3.6,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
184734,Kahlua Rtd White Russian DNO,1750,11.99,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
279866,Seagram's Ruby Red Grapfruit Gin & Juice,375,3.6,Pernod Ricard USA/Austin Nichols,AMERICAN COCKTAILS
