itemid,nombre,volumen,precio,marca,categoria
89076,Saison Dupont Belgian Ale,750,5.62,Vanberg & Dewulf,IMPORTED ALE
330175,Moinette Artisanal Blonde Ale,331,3.07,Vanberg & Dewulf,IMPORTED ALE
375705,Foret Organic Saison Ale,750,6.24,Vanberg & Dewulf,IMPORTED ALE
449492,Dubuisson Scaldis Special Belgian Ale,250,2.76,Vanberg & Dewulf,IMPORTED ALE
327090,Boon Geuze Belgian Beer,355,4.68,Vanberg & Dewulf,IMPORTED ALE
114514,Foret Organic Saison Ale,331,2.97,Vanberg & Dewulf,IMPORTED ALE
430223,Witkap Triple Abbey Ale,331,2.91,Vanberg & Dewulf,IMPORTED ALE
162722,Boon Kriek Cherry Lambic,355,4.99,Vanberg & Dewulf,IMPORTED ALE
335101,Boon Framboise,355,5.62,Vanberg & Dewulf,IMPORTED ALE
374178,Boon Oude Kriek,375,5.72,Vanberg & Dewulf,IMPORTED ALE
182778,Scaldis Prestige,750,28.13,Vanberg & Dewulf,IMPORTED ALE
269760,Scaldis Noel,250,2.81,Vanberg & Dewulf,IMPORTED ALE
368947,Scaldis Premium Noel,750,10.77,Vanberg & Dewulf,IMPORTED ALE
297565,Witkap Singel,331,2.81,Vanberg & Dewulf,IMPORTED ALE
99196,Dupont Les Bons Voeux,750,6.45,Vanberg & Dewulf,IMPORTED ALE
260819,Blanches Des Moines,750,5.62,Vanberg & Dewulf,IMPORTED ALE
215063,Boon Oude Geuze,355,5.31,Vanberg & Dewulf,IMPORTED ALE
224187,Saison Dupont 4-Pack,331,2.81,Vanberg & Dewulf,IMPORTED ALE
78448,Witkap Triple Keg,20000,137.44,Vanberg & Dewulf,IMPORTED ALE
37760,Saison Dupont 20l Keg,20000,144.94,Vanberg & Dewulf,IMPORTED ALE
346204,Moinette Artisanal Bruine,331,3.07,Vanberg & Dewulf,IMPORTED ALE
369586,Scaldis Refermentee Special,30000,8.32,Vanberg & Dewulf,IMPORTED ALE
400078,Witkap Dubbele,331,2.91,Vanberg & Dewulf,IMPORTED ALE
130776,Saison Dupont Champagne Split,375,3.12,Vanberg & Dewulf,IMPORTED ALE
92695,E Dupont Biere De Miel,750,5.93,Vanberg & Dewulf,IMPORTED ALE
20981,Castelain Blonde French Biere De Garde,750,6.66,Vanberg & Dewulf,IMPORTED ALE
