itemid,nombre,volumen,precio,marca,categoria
143929,Amaretto di Amore Mini,600,8.93,Sazerac North America,AMERICAN AMARETTO
253214,Amaretto Di Amore Classico,375,5.25,Sazerac North America,AMERICAN AMARETTO
252068,Di Amore Amaretto,750,9.0,Sazerac North America,AMERICAN AMARETTO
4553,Di Amore Raspberry,750,9.0,Sazerac North America,AMERICAN AMARETTO
423248,Amaretto Di Amore Mini,50,0.63,Sazerac North America,AMERICAN AMARETTO
438484,Amaretto Di Amore,375,5.15,Sazerac North America,AMERICAN AMARETTO
296217,Mr Boston Amaretto,1000,6.0,Sazerac North America,AMERICAN AMARETTO
27216,Amaretto Di Amore Minis,502,7.46,Sazerac North America,AMERICAN AMARETTO
99042,Di Amore Raspberry,750,9.75,Sazerac North America,AMERICAN AMARETTO
