itemid,nombre,volumen,precio,marca,categoria
21320,Black Duck Cranberry Liqueur,750,16.88,Luxco-St Louis,MISC. AMERICAN CORDIALS & LIQUEURS
419415,Arrow Black Raspberry Liqueur,750,7.53,Luxco-St Louis,MISC. AMERICAN CORDIALS & LIQUEURS
386636,Colonial Club Black Raspberry Liqueur,750,6.12,Luxco-St Louis,MISC. AMERICAN CORDIALS & LIQUEURS
115923,Paramount Melon Liqueur,1000,7.8,Luxco-St Louis,MISC. AMERICAN CORDIALS & LIQUEURS
450616,Colonial Club Blackberry & Brandy,750,5.24,Luxco-St Louis,MISC. AMERICAN CORDIALS & LIQUEURS
421739,Colonial Club Blue Curacao,750,3.93,Luxco-St Louis,MISC. AMERICAN CORDIALS & LIQUEURS
143011,Arrow Blackraspberry Liqueur,1000,9.87,Luxco-St Louis,MISC. AMERICAN CORDIALS & LIQUEURS
274435,Getreide Kummel,750,10.29,Luxco-St Louis,MISC. AMERICAN CORDIALS & LIQUEURS
373318,Paramount Banana Liqueur,750,7.71,Luxco-St Louis,MISC. AMERICAN CORDIALS & LIQUEURS
350525,Davinia Hazelnut Liqueur,750,8.76,Luxco-St Louis,MISC. AMERICAN CORDIALS & LIQUEURS
152644,Arrow Creme De Cassis,750,6.75,Luxco-St Louis,MISC. AMERICAN CORDIALS & LIQUEURS
339275,Paramount Rock & Rye,750,7.44,Luxco-St Louis,MISC. AMERICAN CORDIALS & LIQUEURS
