itemid,nombre,volumen,precio,marca,categoria
206298,Glenmorangie Original 10YR w/Glasses,750,33.09,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
73311,Hennessy VS Flask,200,8.61,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
411572,Hennessy VS Gold Box,750,28.49,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
157576,Hennessy Black Gift Box,750,33.74,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
356024,Hennessy Xo W/snifters,750,136.19,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
112917,Hennessy VSOP w/Snifters,750,44.99,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
114879,Hennessey Vs W/ Hennessey Vsop Mini,750,23.94,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
282528,Hennessy VS 750ml + VSOP 50ml Chain VAP,800,28.49,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
459631,Glenmorangie Original w/ Quinta Ruban & Lasanta,2250,82.49,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
434273,Belvedere w/Frosted Martini Glass,750,25.73,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
39854,Hennessy Vsop W/snifters,750,40.7,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
296246,Hennessy Vsop With 2 Rocks Glasses,750,37.46,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
329729,Grand Marnier W/2 Glasses,750,34.97,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
69533,Navan W/two Glasses,750,32.55,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
317356,Grand Marnier W/snifter,750,33.62,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
277627,Navan W/2 Glasses,750,32.55,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
361656,Navan With Ice Bucket,750,31.91,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
32499,Grand Marnier W/snifter,750,32.96,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
429707,Grand Marnier 150th W/snifters,750,171.57,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
8638,Grand Marnier Snifter Pack,750,32.96,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
36117,Hennessy VS Shepard Fairey,750,28.49,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
204820,Belvedere Pure 007 w/ Martini Shaker,750,25.73,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
20092,Grand Marnier w/50ml Raspberry Peach,800,34.97,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
248512,Grand Marnier Cordon Rouge Cherry,750,35.99,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
20407,Grand Marnier Cherry,750,35.99,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
439875,Glenmorangie 10yo W/glass,750,29.94,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
95981,Glenmorangie Original 10YR w/Glasses,750,34.49,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
128569,Glenmorangie 10YR Discovery Pack w/3 50ml,900,34.49,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
78915,Glenmorangie 10 Yr W/glasses,750,37.52,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
184799,Glenmorangie Taster Pack,400,22.49,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
329615,Belvedere W/martini Glass,750,22.91,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
274345,Belvedere W/martini Glass,750,24.66,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
114913,Belvedere Pure Silver Bottle,750,25.73,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
230040,Hennessy VS Flask Sleeve,200,8.46,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
255161,Grand Marnier W/2 Glasses,750,45.95,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
458140,Grand Marnier w/Chiller Bucket and Coasters,750,34.97,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
869,Belvedere Pure 007,750,25.73,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
365512,Hennessy VS w/Hennessy Black 50ml,800,27.74,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
274243,Belvedere Red,750,25.73,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
161506,Belvedere w/2 Shot Glasses,750,25.73,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
410951,Belvedere Pure Perfect Shot VAP,1750,51.74,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
264179,Belvedere Pure Ice Crush,750,25.73,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
69799,Belvedere Pure w/Glass,750,25.73,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
73602,Hennessy VSOP w/50ml VSOP Limited Edition,800,44.99,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
385261,Ardbeg 10YR Exploration Pack,850,38.97,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
234958,Glenmorangie w/2 Glasses British Open,750,32.99,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
173065,Ardbeg 10YR Escape w/2 Glasses HA,750,38.97,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES
