itemid,nombre,volumen,precio,marca,categoria
181550,A.de Fussigny Cigare Cannister Cognac,750,77.91,Jim Beam Brands,IMPORTED GRAPE BRANDIES
192931,Courvoisier Vsop Cognac,750,31.49,Jim Beam Brands,IMPORTED GRAPE BRANDIES
242976,Courvoisier VS,100,3.57,Jim Beam Brands,IMPORTED GRAPE BRANDIES
236696,Courvoisier Vs Coganc,375,12.59,Jim Beam Brands,IMPORTED GRAPE BRANDIES
69688,Courvoisier Vs Cognac,750,25.19,Jim Beam Brands,IMPORTED GRAPE BRANDIES
187119,Courvoisier Vs Cognac,200,7.47,Jim Beam Brands,IMPORTED GRAPE BRANDIES
326609,Courvoisier Rose(do Not Use),750,21.26,Jim Beam Brands,IMPORTED GRAPE BRANDIES
307074,Courvoisier Xo Cognac,750,125.99,Jim Beam Brands,IMPORTED GRAPE BRANDIES
119720,Courvoisier Vsop Cognac Minis,603,32.55,Jim Beam Brands,IMPORTED GRAPE BRANDIES
283858,Cruzan Raspberry Rum,375,6.35,Jim Beam Brands,IMPORTED GRAPE BRANDIES
131715,Courvoisier Vs Cognac,100,3.57,Jim Beam Brands,IMPORTED GRAPE BRANDIES
74758,Fundador Brandy,750,13.44,Jim Beam Brands,IMPORTED GRAPE BRANDIES
398682,Courvoisier Vs Cognac Mini,603,35.93,Jim Beam Brands,IMPORTED GRAPE BRANDIES
103492,Courvoisier Xo,750,125.99,Jim Beam Brands,IMPORTED GRAPE BRANDIES
