itemid,nombre,volumen,precio,marca,categoria
277328,Dekuyper Sour Apple Pucker,750,9.45,Jim Beam Brands,TRIPLE SEC
117983,Chateaux Triple Sec,750,4.89,Jim Beam Brands,TRIPLE SEC
93558,Chateaux Triple Sec,1750,10.31,Jim Beam Brands,TRIPLE SEC
402608,Dekuyper Triple Sec,1000,3.5,Jim Beam Brands,TRIPLE SEC
2838,Leroux Triple Sec,1000,6.39,Jim Beam Brands,TRIPLE SEC
173653,Leroux Triple Sec,1000,6.66,Jim Beam Brands,TRIPLE SEC
124764,Dekuyper Triple Sec,750,6.87,Jim Beam Brands,TRIPLE SEC
212789,Dekuyper Luscious Red Apple,1000,11.43,Jim Beam Brands,TRIPLE SEC
