itemid,nombre,volumen,precio,marca,categoria
116274,Mc Cormick Gin Pet,750,4.89,Mccormick Distilling Company,AMERICAN DRY GINS
389370,McCormick Gin,1000,6.2,Mccormick Distilling Company,AMERICAN DRY GINS
24727,Mc Cormick Gin,375,2.72,Mccormick Distilling Company,AMERICAN DRY GINS
352841,McCormick Gin,1000,6.0,Mccormick Distilling Company,AMERICAN DRY GINS
4545,McCormick Gin Pet,1750,10.95,Mccormick Distilling Company,AMERICAN DRY GINS
332569,Mccormick Gin,375,3.2,Mccormick Distilling Company,AMERICAN DRY GINS
134840,Mccormick Gin,200,1.59,Mccormick Distilling Company,AMERICAN DRY GINS
