itemid,nombre,volumen,precio,marca,categoria
139030,Kru Peach Mango Vodka,750,16.01,Western Spirits Beverage Co. LLC,IMPORTED VODKA
96394,Kru Peach Mango Vodka,1000,22.5,Western Spirits Beverage Co. LLC,IMPORTED VODKA
304685,Kuhl Vodka,750,9.84,Western Spirits Beverage Co. LLC,IMPORTED VODKA
358234,Kru 82 Vodka glass,1750,19.08,Western Spirits Beverage Co. LLC,IMPORTED VODKA
248440,Kru 82 Vodka glass,375,6.92,Western Spirits Beverage Co. LLC,IMPORTED VODKA
433009,Kru 82 Vodka glass,750,11.53,Western Spirits Beverage Co. LLC,IMPORTED VODKA
